运动户外>健身训练>美腰机/挺腰器,1318>1463>s8151,运动/瑜伽/健身/球迷用品>踏步机/中小型健身器材>美腰机/挺腰器,50010728>50038418>50038433
美妆个护>洗发护发>假发,1316>1386>4699,导航平台>特需保健>整顶假发,50041194>52496004>52488007
美妆个护>洗发护发>假发,1316>1386>4699,美发护发/假发>马尾/发包/丸子>丸子头/花苞头,50071436>50071656>50071683
美妆个护>洗发护发>假发,1316>1386>4699,美发护发/假发>接发片>卷发片,50071436>50071658>50071685
美妆个护>洗发护发>假发,1316>1386>4699,美发护发/假发>马尾/发包/丸子>马尾,50071436>50071656>50071682
美妆个护>洗发护发>假发,1316>1386>4699,美发护发/假发>接发片>直发片,50071436>50071658>50071684
美妆个护>洗发护发>假发,1316>1386>4699,导航平台>中老年特需保健>整顶假发,50041194>52068001>52592005
运动户外>户外装备>帐篷/垫子,1318>1462>1473,户外鞋服/装备>儿童户外>儿童帐篷,50022787>53002001>53012003
运动户外>户外装备>帐篷/垫子,1318>1462>1473,户外运动用品>户外帐篷>广告帐篷,2203>50031730>50046645
运动户外>户外装备>帐篷/垫子,1318>1462>1473,户外运动用品>户外帐篷>露营帐篷,2203>50031730>50046639
运动户外>户外装备>帐篷/垫子,1318>1462>1473,户外运动用品>户外垫子>防潮垫,2203>50031732>50032301
运动户外>户外装备>帐篷/垫子,1318>1462>1473,户外运动用品>户外帐篷>游戏帐篷,2203>50031730>50051510
运动户外>户外装备>帐篷/垫子,1318>1462>1473,户外运动用品>户外帐篷>车顶帐篷,2203>50031730>50046642
运动户外>户外装备>帐篷/垫子,1318>1462>1473,户外运动用品>户外帐篷>帐篷配件,2203>50031730>50046646
运动户外>户外装备>帐篷/垫子,1318>1462>1473,户外运动用品>户外帐篷>更衣帐篷,2203>50031730>50046643
运动户外>户外装备>帐篷/垫子,1318>1462>1473,户外运动用品>户外垫子>其他垫子,2203>50031732>50032304
运动户外>户外装备>帐篷/垫子,1318>1462>1473,户外运动用品>户外垫子>地布地席,2203>50031732>50032302
运动户外>户外装备>帐篷/垫子,1318>1462>1473,户外运动用品>户外垫子>充气垫,2203>50031732>50043210
运动户外>户外装备>帐篷/垫子,1318>1462>1473,户外运动用品>户外帐篷>沙滩帐篷,2203>50031730>50046641
运动户外>户外装备>帐篷/垫子,1318>1462>1473,户外运动用品>户外帐篷>工程帐篷,2203>50031730>50046644
运动户外>户外装备>帐篷/垫子,1318>1462>1473,户外运动用品>户外垫子>垫配件,2203>50031732>50034054
运动户外>户外装备>帐篷/垫子,1318>1462>1473,户外运动用品>户外垫子>野餐垫,2203>50031732>50040731
运动户外>户外装备>帐篷/垫子,1318>1462>1473,户外鞋服/装备>帐篷/帐篷配件>配件,50022787>50107219>50107230
运动户外>户外装备>帐篷/垫子,1318>1462>1473,户外鞋服/装备>户外桌椅/充气床>充气床,50022787>50107220>55874041
运动户外>户外装备>帐篷/垫子,1318>1462>1473,户外鞋服/装备>帐篷/帐篷配件>帐篷,50022787>50107219>50107229
运动户外>户外装备>帐篷/垫子,1318>1462>1473,玩具/童车/益智/积木/模型>户外/娱乐/运动>儿童帐篷/游戏屋,50005998>2512>50008687
医药保健>传统滋补>藏红花,9192>9195>s1249,参茸滋补>其它传统滋补品>红花,50008825>50007215>50107796
服饰内衣>服饰配件>女士腰带/礼盒,1315>1346>12030,童装/婴儿装/亲子装>腰带/皮带/背带>腰带/皮带,50008165>50046238>50095723
运动户外>运动鞋包>鞋垫,1318>12099>s3531,户外运动用品>户外鞋>鞋垫,2203>50031728>50067931
家具>客厅家具>电视柜,9847>9849>9873,住宅家具/办公家具>柜类>电视柜,50030787>50030789>50030804
家具>客厅家具>电视柜,9847>9849>9873,全屋定制>定制柜类>定制电视柜,55752011>55814005>55864005
家具>书房家具>床头柜/书架/衣柜,9847>9851>s8557,住宅家具/办公家具>青少年家具>床头柜/衣柜/书架,50030787>50036077>50036080
食品饮料>茗茶>其它茶,1320>12202>12214,各地茗茶>乌龙茶/铁观音/大红袍>肉桂,50099890>50072577>50099952
食品饮料>茗茶>其它茶,1320>12202>12214,各地茗茶>乌龙茶/铁观音/大红袍>大红袍,50099890>50072577>50072589
食品饮料>茗茶>其它茶,1320>12202>12214,各地茗茶>乌龙茶/铁观音/大红袍>台湾高山茶,50099890>50072577>50099947
食品饮料>茗茶>其它茶,1320>12202>12214,各地茗茶>乌龙茶/铁观音/大红袍>凤凰单丛,50099890>50072577>50072592
食品饮料>茗茶>其它茶,1320>12202>12214,各地茗茶>乌龙茶/铁观音/大红袍>水仙,50099890>50072577>50099950
食品饮料>茗茶>其它茶,1320>12202>12214,各地茗茶>黑茶/白茶/黄茶>六堡茶,50099890>50099926>50099928
食品饮料>茗茶>其它茶,1320>12202>12214,各地茗茶>黑茶/白茶/黄茶>白牡丹,50099890>50099926>50099931
食品饮料>茗茶>其它茶,1320>12202>12214,各地茗茶>黑茶/白茶/黄茶>雅安藏茶,50099890>50099926>50106004
食品饮料>茗茶>其它茶,1320>12202>12214,各地茗茶>黑茶/白茶/黄茶>君山银针,50099890>50099926>50099932
食品饮料>茗茶>其它茶,1320>12202>12214,各地茗茶>黑茶/白茶/黄茶>寿眉,50099890>50099926>50099929
食品饮料>茗茶>其它茶,1320>12202>12214,各地茗茶>黑茶/白茶/黄茶>其他黄茶,50099890>50099926>50099942
食品饮料>茗茶>其它茶,1320>12202>12214,ZIPPO/瑞士军刀/眼镜>烟具/烟嘴/烟斗/电子烟>其它,28>2909>290905
食品饮料>茗茶>其它茶,1320>12202>12214,各地茗茶>花茶/果茶/加工茶>再加工茶,50099890>50099956>56598002
酒类>中外名酒>董香型,12259>12260>1000229,美酒>中国白酒>米香型,54982001>50072111>50105162
家居家纺>收纳用品>收纳架/篮,1620>13780>13785,住宅家具/办公家具>架/箱类家具>CD架,50030787>50036112>50036131
家居家纺>收纳用品>收纳架/篮,1620>13780>13785,住宅家具/办公家具>柜类>行李柜,50030787>50030789>50034068
服饰内衣>内衣>泳衣,1315>1345>9753,运动/瑜伽/健身/球迷用品>泳衣/游泳装备>情侣装泳衣,50010728>50470012>50038152
家具>卧室家具>其他镜子,9847>9848>s8105,住宅家具/办公家具>镜子类>其他镜类,50030787>50067235>50067239
家具>储物家具>墙面搁架,9847>9852>9887,住宅家具/办公家具>架/箱类家具>搁板/壁架,50030787>50036112>50036135
母婴>童装童鞋>亲子装,1319>11842>4937,童装/婴儿装/亲子装>旗袍/唐装/礼服>唐装,50008165>50380013>50398002
母婴>童装童鞋>亲子装,1319>11842>4937,童装/亲子装>外套/夹克>外套,50023647>50298001>50095382
母婴>童装童鞋>亲子装,1319>11842>4937,居家日用/节日用品>儿童居家用品>儿童防护服,50036568>56212001>56228001
母婴>童装童鞋>亲子装,1319>11842>4937,童装/亲子装>婴幼外套/夹克>外套,50023647>54680001>54694001
母婴>童装童鞋>亲子装,1319>11842>4937,童装/婴儿装/亲子装>普通外套/开衫>外套,50008165>50023854>50095683
母婴>童装童鞋>亲子装,1319>11842>4937,童装/亲子装>领结/腰带/背带>腰带/皮带/背带,50023647>50332001>50306005
母婴>童装童鞋>亲子装,1319>11842>4937,童装/亲子装>大衣/风衣>大衣,50023647>50288001>50095360
母婴>童装童鞋>亲子装,1319>11842>4937,童装/亲子装>帽子/围巾/手套/口罩>袖套,50023647>50306003>51440045
母婴>童装童鞋>亲子装,1319>11842>4937,童装/亲子装>帽子/围巾/手套/口罩>多件套,50023647>50306003>50035042
母婴>童装童鞋>亲子装,1319>11842>4937,童装/亲子装>防抓手套/婴儿袜>防抓手套,50023647>50294001>50278001
母婴>童装童鞋>亲子装,1319>11842>4937,童装/亲子装>防抓手套/婴儿袜>婴儿袜,50023647>50294001>50292001
母婴>童装童鞋>亲子装,1319>11842>4937,童装/亲子装>家居服/睡衣裤/裙/袍>浴袍,50023647>50300004>54736003
母婴>童装童鞋>亲子装,1319>11842>4937,童装/亲子装>帽子/围巾/手套/口罩>护手脚套,50023647>50306003>50034696
母婴>童装童鞋>亲子装,1319>11842>4937,童装/亲子装>帽子/围巾/手套/口罩>耳套,50023647>50306003>50095350
母婴>童装童鞋>亲子装,1319>11842>4937,童装/婴儿装/亲子装>防抓手套/婴儿袜>防抓手套/护脚/护膝,50008165>50095784>50095785
母婴>童装童鞋>亲子装,1319>11842>4937,童装/婴儿装/亲子装>腰带/皮带/背带>背带,50008165>50046238>50032713
母婴>童装童鞋>亲子装,1319>11842>4937,童装/婴儿装/亲子装>普通外套/开衫>开衫,50008165>50023854>50380017
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>装饰摆件>装饰摆件,50067926>50067939>50099096
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>装饰摆件>装饰盘,50067926>50067939>50099091
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>装饰画>其他,50065206>50103150>54038036
家居家纺>家装软饰>装饰摆件,1620>11158>11166,天猫国际>居家饰品>摆件,52792006>56560001>56558002
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>创意饰品>其他,50065206>50065281>50065350
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>装饰画>现代装饰画,50065206>50103150>50103152
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>装饰摆件>饰品盒,50067926>50067939>50099092
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>装饰画>标本类装饰画,50065206>50103150>54024041
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>装饰摆件>装饰碗/盆,50067926>50067939>50099094
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>装饰摆件>装饰烟灰缸,50067926>50067939>50099095
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>装饰器皿>装饰碗/盆,50065206>50065261>50065289
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>仿真饰品>仿真植物盆景,50065206>50065274>50065323
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>雕刻饰品>石雕,50067926>50067936>50067962
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>创意饰品>幸运星/瓶,50065206>50065281>50065341
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>雕刻饰品>炭雕（不含挂盘）,50067926>50067936>50067966
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>创意饰品>海螺/贝壳/珊瑚,50065206>50065281>50065342
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>创意饰品>椰子壳,50065206>50065281>50065343
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>雕刻饰品>根雕,50067926>50067936>50067964
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>仿真饰品>仿真水果,50065206>50065274>50065325
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>创意饰品>创意门挡,50065206>50065281>50065346
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>创意饰品>女巫布艺,50065206>50065281>50065345
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>创意饰品>搞怪杯子,50065206>50065281>50065347
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>雕刻饰品>玉雕,50067926>50067936>50067965
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>创意饰品>扭曲雕塑品,50065206>50065281>50065349
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>雕刻饰品>木雕,50067926>50067936>50067963
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>仿真饰品>DIY仿真材料,50065206>50065274>50065324
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>仿真饰品>干花/干枝/花瓣,50065206>50065274>50095799
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>创意饰品>空中吊饰,50065206>50065281>50065348
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>创意饰品>百变造型香皂,50065206>50065281>50065344
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>仿真花卉/水果/盆景>仿真水果,50067926>50068022>50068027
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>蜡烛/烛台>烛台及配件,50067926>50068017>50068019
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>装饰摆件>音乐盒,50067926>50067939>50099090
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>装饰器皿>音乐盒,50065206>50065261>50065294
家居家纺>家装软饰>装饰摆件,1620>11158>11166,模玩/动漫/明星/COS/桌游>聚会用品/装饰/表演服>圣诞节服饰/装饰,25>50036939>56566032
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>装饰器皿>阳光罐/月光罐,50065206>50065261>50065291
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>壁饰/门饰/挂钩>装饰挂钩,50067926>50068013>50099078
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>花瓶/花器>花盆,50065206>50065290>50065300
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>蜡烛/烛台>香氛蜡烛,50067926>50068017>50068021
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>仿真花卉/水果/盆景>仿真植物盆景,50067926>50068022>50068025
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>花瓶/花器>花篮,50065206>50065290>50065301
家居家纺>家装软饰>装饰摆件,1620>11158>11166,居家日用>5元以下小商品区>浴室置物架,21>50049145>50049151
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>壁饰/门饰/挂钩>壁饰,50067926>50068013>50099079
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>仿真花卉/水果/盆景>仿真花卉,50067926>50068022>50068023
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>花瓶/花器/果盘>装饰坐盘/挂盘,50067926>50067967>50067983
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>花瓶/花器>窗型花器,50065206>50065290>50065303
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>蜡烛/烛台>无味蜡烛,50067926>50068017>50068020
家居家纺>家装软饰>装饰摆件,1620>11158>11166,鲜花速递/园艺花艺>园艺用品>花瓶/花器/花盆/花架,50024897>50024904>50024966
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>花瓶/花器>花壶瓶,50065206>50065290>50065304
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>花瓶/花器>花栅栏,50065206>50065290>50065302
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>花瓶/花器/果盘>花器/花瓶,50067926>50067967>50067969
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>雕刻工艺>玉雕,50065206>50065259>50065285
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>蜡烛/烛台>烛台,50065206>50065273>50065319
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>花瓶/花器>仿真花卉,50065206>50065290>50072027
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>贴饰>其他贴饰,50067926>50068003>50068009
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>花瓶/花器>其他花器,50065206>50065290>50065305
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>雕刻工艺>木雕,50065206>50065259>50065284
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>花瓶/花器/果盘>装饰碗/盆,50067926>50067967>50067968
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>照片/照片墙>相框/画框,50067926>50067985>52276005
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>雕刻工艺>炭雕,50065206>50065259>50065286
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>壁饰/门饰/挂钩>装饰挂牌/门牌,50067926>50068013>50099080
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>花瓶/花器>花瓶,50065206>50065290>50065298
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>照片/照片墙>相片墙,50067926>50067985>50067987
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>花瓶/花器>花桶,50065206>50065290>50065299
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>相片墙/画片>相片/画片,50065206>50065266>50065317
家居家纺>家装软饰>装饰摆件,1620>11158>11166,家居饰品>贴饰>开关贴,50067926>50068003>50068007
美妆个护>香水彩妆>美甲,1316>1387>1428,天猫国际>彩妆>甲油/美甲产品,52792006>55920002>55948002
食品饮料>进口食品>饼干蛋糕,1320>5019>5020,天猫超市>进口商品>进口饼干/糕点,50514008>51454011>51454012
服饰内衣>男装>风衣,1315>1342>9728,天猫国际>男装>风衣,52792006>55872020>55832018
服饰内衣>男装>风衣,1315>1342>9728,运动服>风衣>男子风衣,50020894>50101385>50101386
服饰内衣>男装>风衣,1315>1342>9728,精品男装>中老年服装>风衣,50025174>50100128>50226002
服饰内衣>男装>风衣,1315>1342>9728,精品男装>时尚馆>风衣,50025174>53384001>53410004
服饰内衣>男装>风衣,1315>1342>9728,精品男装>商务馆>风衣,50025174>53306006>53404001
服饰内衣>男装>风衣,1315>1342>9728,精品男装>青春馆>风衣,50025174>53414001>53434001
服饰内衣>男装>风衣,1315>1342>9728,精品男装>设计潮牌馆>风衣,50025174>50071477>50100131
服饰内衣>男装>风衣,1315>1342>9728,精品男装>新品推荐>风衣,50025174>53636001>53628003
服饰内衣>男装>风衣,1315>1342>9728,精品男装>国际馆>风衣,50025174>53412001>53424001
服饰内衣>男装>风衣,1315>1342>9728,精品男装>商场同款>风衣,50025174>53446004>53392004
服饰内衣>男装>风衣,1315>1342>9728,精品男装>大码>风衣,50025174>50076793>50228006
服饰内衣>男装>风衣,1315>1342>9728,运动服/休闲服>男装>风衣(男),50016756>50426024>50446001
服饰内衣>男装>风衣,1315>1342>9728,童装/亲子装>大衣/风衣>风衣,50023647>50288001>50095359
服饰内衣>男装>风衣,1315>1342>9728,导航平台>男士服饰>风衣,50041194>52478004>52586003
服饰内衣>男装>风衣,1315>1342>9728,导航平台>中老年男士服饰>风衣,50041194>52064001>52488013
数码>影音娱乐>便携/无线音箱,652>828>13662,影音视听>其他影音家电>其它影音产品,50894004>50930005>50932009
家具>办公家具>其他办公家具,9847>9854>s3558,商业/办公家具>办公家具>其它办公家具,50066661>211503>50001401
家具>办公家具>其他办公家具,9847>9854>s3558,住宅家具/办公家具>办公家具>其它办公家具,50030787>50030794>50030848
家具>办公家具>其他办公家具,9847>9854>s3558,住宅家具/办公家具>办公家具>成套办公家具,50030787>50030794>50030849
医药保健>传统滋补,9192>9195,保健滋补医药器械>参茸滋补>其它传统滋补品,50106154>57368001>57368033
医药保健>传统滋补,9192>9195,天猫超市>滋补保健>传统滋补营养品,50514008>50518003>50510042
医药保健>传统滋补,9192>9195,保健滋补医药器械>参茸滋补>珍珠粉,50106154>57368001>57368070
医药保健>传统滋补,9192>9195,参茸滋补>体质养生>阴虚体质,50008825>56774022>56776030
医药保健>传统滋补,9192>9195,参茸滋补>体质养生>阳虚体质,50008825>56774022>56848029
医药保健>传统滋补,9192>9195,天猫超市>进口商品>进口滋补保健品,50514008>51454011>51452023
运动户外>户外鞋服>徒步鞋,1318>2628>12136,户外运动用品>户外鞋>徒步鞋,2203>50031728>50043792
运动户外>户外鞋服>徒步鞋,1318>2628>12136,户外鞋服/装备>徒步鞋>男子徒步鞋,50022787>53174001>56160006
运动户外>户外鞋服>徒步鞋,1318>2628>12136,户外鞋服/装备>徒步鞋>女子徒步鞋,50022787>53174001>56136005
运动户外>户外鞋服>徒步鞋,1318>2628>12136,户外鞋服/装备>徒步鞋>Decathlon/迪卡侬,50022787>53174001>56148004
运动户外>户外鞋服>徒步鞋,1318>2628>12136,户外鞋服/装备>鞋靴类>徒步鞋,50022787>50031407>50031427
运动户外>户外鞋服>徒步鞋,1318>2628>12136,运动鞋/休闲鞋>户外鞋/登山鞋/工装鞋>徒步鞋,50468016>50460023>50474024
数码>摄影摄像>数码相机适配器,652>654>s2216,3C数码配件市场>普通相机配件>数码相机适配器,50008090>50016908>50476004
医药保健>传统滋补>三七,9192>9195>12613,参茸滋补>参茸名品>三七,50008825>56830018>50107660
医药保健>传统滋补>三七,9192>9195>12613,参茸滋补>其它传统滋补品>传统滋补品其他,50008825>50007215>50064903
鞋靴>时尚女鞋>妈妈鞋,11729>11731>9778,时尚女鞋>国内知名>妈妈鞋,50025829>53990011>54456001
鞋靴>时尚女鞋>妈妈鞋,11729>11731>9778,导航平台>中老年>中老年女鞋,50041194>53852012>54014002
鞋靴>时尚女鞋>妈妈鞋,11729>11731>9778,时尚女鞋>国际潮牌>高帮鞋,50025829>54012016>54374004
鞋靴>时尚女鞋>妈妈鞋,11729>11731>9778,时尚女鞋>国际潮牌>商场同款,50025829>54012016>54460001
鞋靴>时尚女鞋>妈妈鞋,11729>11731>9778,时尚女鞋>国内知名>豆豆鞋,50025829>53990011>54452001
鞋靴>时尚女鞋>妈妈鞋,11729>11731>9778,时尚女鞋>国内知名>商场同款,50025829>53990011>54358007
鞋靴>时尚女鞋>妈妈鞋,11729>11731>9778,时尚女鞋>国内知名>新发商品,50025829>53990011>54400005
鞋靴>时尚女鞋>妈妈鞋,11729>11731>9778,女鞋>大码女鞋>大码拖鞋,50006843>51034016>51054008
鞋靴>时尚女鞋>妈妈鞋,11729>11731>9778,女鞋>大码女鞋>大码高帮鞋,50006843>51034016>51038018
鞋靴>时尚女鞋>妈妈鞋,11729>11731>9778,导航平台>女士服饰>真皮鞋/靴,50041194>52502003>52586001
鞋靴>时尚女鞋>妈妈鞋,11729>11731>9778,女鞋>小码女鞋>小码高帮鞋,50006843>51048014>51048016
鞋靴>时尚女鞋>妈妈鞋,11729>11731>9778,天猫国际>女鞋>豆豆鞋,52792006>55816013>55858024
鞋靴>时尚女鞋>妈妈鞋,11729>11731>9778,天猫国际>女鞋>尖头鞋,52792006>55816013>55854019
鞋靴>时尚女鞋>妈妈鞋,11729>11731>9778,天猫国际>女鞋>浅口鞋,52792006>55816013>55834021
鞋靴>时尚女鞋>妈妈鞋,11729>11731>9778,天猫国际>女鞋>深口鞋,52792006>55816013>55850031
鞋靴>时尚女鞋>妈妈鞋,11729>11731>9778,天猫国际>女鞋>圆头鞋,52792006>55816013>55822028
鞋靴>时尚女鞋>妈妈鞋,11729>11731>9778,天猫国际>女鞋>凉拖,52792006>55816013>55872027
鞋靴>时尚女鞋>妈妈鞋,11729>11731>9778,天猫国际>女鞋>平底鞋,52792006>55816013>55810024
美妆个护>香水彩妆>身体彩绘,1316>1387>s7203,天猫国际>彩妆>身体彩绘,52792006>55920002>55914005
数码>电子教育>点读机/笔,652>12346>12357,电子词典/电纸书/文化用品>点读机/点读笔>点读机,50018627>50097684>50067098
数码>电子教育>点读机/笔,652>12346>12357,3C数码配件市场>电教产品配件>点读机/点读笔配件,50008090>50076931>50076953
数码>电子教育>点读机/笔,652>12346>12357,电子词典/电纸书/文化用品>点读机/点读笔>点读笔,50018627>50097684>50067097
礼品箱包>奢侈品>光学眼镜,1672>2615>1000199,ZIPPO/瑞士军刀/眼镜>功能眼镜>3D眼镜,28>50018619>50097532
礼品箱包>奢侈品>光学眼镜,1672>2615>1000199,ZIPPO/瑞士军刀/眼镜>功能眼镜>滑雪镜,28>50018619>50018624
礼品箱包>奢侈品>光学眼镜,1672>2615>1000199,ZIPPO/瑞士军刀/眼镜>功能眼镜>夜视镜,28>50018619>50018626
礼品箱包>奢侈品>光学眼镜,1672>2615>1000199,ZIPPO/瑞士军刀/眼镜>功能眼镜>司机镜,28>50018619>50018622
宠物生活>家居日用>狗厕所/尿垫,6994>6998>7019,宠物食品及用品>猫/狗清洁美容>猫狗厕所/方便专用,50034368>50043502>50043509
酒类>中外名酒>葡萄酒,12259>12260>9438,进口食品>进口酒>进口红酒,50105688>53634012>53662006
酒类>中外名酒>葡萄酒,12259>12260>9438,美酒>葡萄美酒>加强葡萄酒,54982001>50072114>50105159
宠物生活>猫狗玩具>猫玩具,6994>6999>7024,宠物/宠物食品及用品>猫/狗玩具>逗猫棒,29>217311>50003750
宠物生活>猫狗玩具>猫玩具,6994>6999>7024,宠物/宠物食品及用品>猫/狗玩具>猫爬架,29>217311>50003241
宠物生活>猫狗玩具>猫玩具,6994>6999>7024,宠物/宠物食品及用品>猫/狗玩具>猫抓板,29>217311>50003280
家具>客厅家具>凳子,9847>9849>11142,住宅家具/办公家具>根雕类>根雕凳子,50030787>50067229>50067233
礼品箱包>奢侈品>腰带,1672>2615>9189,户外鞋服/装备>配饰类>腰带,50022787>50096745>50107504
美妆个护>香水彩妆>遮瑕,1316>1387>s8649,天猫国际>彩妆>遮瑕,52792006>55920002>55964002
家具>卧室家具>衣柜,9847>9848>11972,住宅家具/办公家具>卧室>衣柜,50030787>50096374>50096378
家具>卧室家具>衣柜,9847>9848>11972,住宅家具>成套家具>整体衣帽间,50008164>2115>50034141
